NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Monte Alegre dos Campos;RS;Ameixa;0;20000;20000;1,00;9200;581;0,0632;348,6;2010;4312377;2697,56; GRANIZO
Cotiporã;RS;Uva;9;19600;19600;1,00;168720;6169,47;0,0366;3701,68;2010;4305959;2800,00; QUEDA DE PARREIRAL
Veranópolis;RS;Uva;2;18500;18500;1,00;30060;1099,17;0,0366;659,5;2010;4322806;819,72; GRANIZO
Platina;SP;Milho 2ª safra;48;3300;1815;0,55;32210,2;5636,79;0,1750;3945,75;2011;3539707;22903,85; GEADA
Farroupilha;RS;Uva;2;31923,33;31923,33;1,00;48034,8;1756,46;0,0366;1053,88;2010;4307906;3358,44; GRANIZO
Farroupilha;RS;Uva;10;22012,5;22012,5;1,00;192120;7025,11;0,0366;4215,07;2010;4307906;10605,74; GRANIZO
São Joaquim;SC;Maçã;11;40000;40000;1,00;238800;24586,61;0,1030;14751,96;2010;4216503;81648,48; GRANIZO
Canela;RS;Uva;6;20000;20000;1,00;120000;4763,94;0,0397;2858,36;2010;4304408;6220,00; GRANIZO
Monte Alegre dos Campos;RS;Uva;1;12000;12000;1,00;9600;381,12;0,0397;228,67;2010;4312377;6437,76; GRANIZO
Fagundes Varela;RS;Uva;4;15000;15000;1,00;36000;1316,4;0,0366;789,84;2010;4307864;2961,75; QUEDA DE PARREIRAL
Vacaria;RS;Maçã;5;40000;40000;1,00;162400;15273,56;0,0940;9164,14;2010;4322509;103601,68; GRANIZO
